time,x,y,z
1.41,0.747075,-0.0588535,270.358
1.42,0.746813,-0.0441754,272.242
1.43,0.745546,-0.0296328,274.126
1.44,0.743268,-0.0152294,276.009
1.45,0.739977,-0.000968469,277.891
1.46,0.735675,0.013147,279.772
1.47,0.730362,0.0271144,281.652
1.48,0.724041,0.0409311,283.531
1.49,0.716719,0.054595,285.409
1.5,0.708403,0.068104,287.285
1.51,0.6991,0.0814561,289.161
1.52,0.688824,0.0946496,291.035
1.53,0.677585,0.107683,292.908
1.54,0.665398,0.120553,294.779
1.55,0.652279,0.13326,296.649
1.56,0.638247,0.145801,298.518
1.57,0.62332,0.158174,300.385
1.58,0.60752,0.170377,302.251
1.59,0.59087,0.182407,304.115
1.6,0.573393,0.194263,305.977
1.61,0.555116,0.205941,307.838
1.62,0.536065,0.217439,309.697
1.63,0.516269,0.228754,311.555
1.64,0.495758,0.23988,313.41
1.65,0.474563,0.250816,315.264
1.66,0.452717,0.261556,317.117
1.67,0.430252,0.272096,318.967
1.68,0.407204,0.28243,320.816
1.69,0.383608,0.292554,322.662
1.7,0.359499,0.30246,324.507
1.71,0.334916,0.312144,326.35
1.72,0.309896,0.321597,328.191
1.73,0.284478,0.330813,330.03
1.74,0.258701,0.339783,331.867
1.75,0.232604,0.348501,333.702
1.76,0.206228,0.356956,335.535
1.77,0.179613,0.365141,337.366
1.78,0.152799,0.373045,339.195
1.79,0.125827,0.380658,341.021
1.8,0.0987383,0.387971,342.846
1.81,0.0715734,0.394973,344.669
1.82,0.0443729,0.401651,346.49
1.83,0.0171773,0.407996,348.309
1.84,-0.00997322,0.413996,350.126
1.85,-0.0370388,0.419638,351.941
1.86,-0.0639801,0.42491,353.754
1.87,-0.0907582,0.429799,355.565
1.88,-0.117335,0.434294,357.374
1.89,-0.143672,0.438382,359.181
1.9,-0.169734,0.442049,360.986
1.91,-0.195483,0.445283,362.789
1.92,-0.220886,0.448071,364.59
1.93,-0.245907,0.450399,366.39
1.94,-0.270513,0.452256,368.187
1.95,-0.294673,0.453629,369.983
1.96,-0.318355,0.454504,371.777
1.97,-0.341529,0.454871,373.569
1.98,-0.364167,0.454716,375.359
1.99,-0.386242,0.454029,377.148
2,-0.407727,0.452798,378.935
2.01,-0.428598,0.451012,380.721
2.02,-0.448831,0.448662,382.505
2.03,-0.468405,0.445737,384.287
2.04,-0.4873,0.442229,386.068
2.05,-0.505496,0.438128,387.847
2.06,-0.522975,0.433428,389.625
2.07,-0.539723,0.42812,391.402
2.08,-0.555725,0.4222,393.177
2.09,-0.570967,0.415662,394.951
2.1,-0.585438,0.4085,396.724
2.11,-0.599129,0.400713,398.495
2.12,-0.612031,0.392297,400.266
2.13,-0.624137,0.38325,402.035
2.14,-0.635442,0.373573,403.803
2.15,-0.645942,0.363267,405.57
2.16,-0.655635,0.352332,407.337
2.17,-0.66452,0.340772,409.102
2.18,-0.672598,0.328591,410.866
2.19,-0.679869,0.315795,412.63
2.2,-0.686338,0.30239,414.393
2.21,-0.692008,0.288385,416.155
2.22,-0.696886,0.273788,417.916
2.23,-0.700979,0.258609,419.677
2.24,-0.704294,0.242862,421.437
2.25,-0.706842,0.226558,423.197
2.26,-0.708632,0.209712,424.956
2.27,-0.709676,0.192341,426.714
2.28,-0.709987,0.17446,428.472
2.29,-0.709577,0.156089,430.23
2.3,-0.708461,0.137246,431.987
2.31,-0.706655,0.117953,433.744
2.32,-0.704173,0.0982321,435.501
2.33,-0.701033,0.0781061,437.258
2.34,-0.697251,0.0575996,439.014
2.35,-0.692846,0.0367383,440.77
2.36,-0.687835,0.015549,442.526
2.37,-0.682237,-0.00594048,444.282
2.38,-0.676072,-0.0277013,446.038
2.39,-0.669358,-0.0497036,447.793
2.4,-0.662116,-0.0719165,449.549
2.41,-0.654365,-0.0943083,451.304
2.42,-0.646125,-0.116847,453.06
2.43,-0.637417,-0.139498,454.815
2.44,-0.628261,-0.162228,456.571
2.45,-0.618677,-0.185003,458.326
2.46,-0.608685,-0.207787,460.082
2.47,-0.598306,-0.230544,461.838
2.48,-0.587558,-0.253238,463.593
2.49,-0.576462,-0.275832,465.349
2.5,-0.565036,-0.29829,467.105
2.51,-0.553301,-0.320575,468.861
2.52,-0.541275,-0.342648,470.616
2.53,-0.528976,-0.364474,472.372
2.54,-0.516423,-0.386013,474.128
2.55,-0.503631,-0.407231,475.885
2.56,-0.49062,-0.428088,477.641
2.57,-0.477405,-0.448549,479.397
2.58,-0.464002,-0.468577,481.153
2.59,-0.450426,-0.488135,482.909
2.6,-0.436693,-0.50719,484.665
2.61,-0.422817,-0.525705,486.421
2.62,-0.408811,-0.543646,488.177
2.63,-0.394689,-0.56098,489.933
2.64,-0.380463,-0.577674,491.688
2.65,-0.366145,-0.593696,493.444
2.66,-0.351747,-0.609016,495.199
2.67,-0.337278,-0.623603,496.955
2.68,-0.322749,-0.63743,498.709
2.69,-0.30817,-0.650468,500.464
2.7,-0.293548,-0.662692,502.218
2.71,-0.278894,-0.674076,503.973
2.72,-0.264214,-0.684597,505.726
2.73,-0.249515,-0.694233,507.479
2.74,-0.234805,-0.702963,509.232
2.75,-0.220089,-0.710768,510.984
2.76,-0.205373,-0.717632,512.736
2.77,-0.190663,-0.723537,514.487
2.78,-0.175964,-0.72847,516.238
2.79,-0.16128,-0.732418,517.987
2.8,-0.146615,-0.735371,519.736
2.81,-0.131973,-0.73732,521.485
2.82,-0.117358,-0.738257,523.232
